    Julian Date   Prim. Vel. (km/s)   Sec. Vel. (km/s)  R Value
    2455992.953          38.0704          -73.7369     12.1548481
    2455998.995          12.9552          -40.9014     12.0118141
    2455999.981          26.1157          -56.0905     12.7398348
    2456019.887          13.8900          -43.9171     11.2118349
    2456022.922          29.3078          -61.9068     12.6987648
    2456023.928         -43.3716           49.4208      9.2088938
    2456025.923          38.2341          -73.5733     12.7336884
    2456027.932         -37.8787           41.8794      9.2466946
    2456048.861          38.3828          -73.4246     13.1238317
    2456049.858         -19.5840           19.7911     11.8094969
    2456052.923          -3.8682          112.1242_ignore     15.2933216
    2456054.861          13.4213          -36.0020     10.4108734
    2456084.736          30.5025          -66.1757     12.6500950
    2456352.005          -4.1563          111.8361_ignore     17.5547676
    2456363.023         -44.9156           52.9662      9.3328037
