    Julian Date   Prim. Vel. (km/s)   Sec. Vel. (km/s)  R Value
    2455848.944          46.6704          117.0861      7.6808071
    2455849.918         105.4160           47.0494     10.7600975
    2455927.718          47.3787          115.1045      8.6554298
    2455928.702          95.1597           58.8128     12.4669123
    2455933.704          78.1917           78.0146     25.6202431
    2455967.699          57.5387          105.4125      8.0356627
    2456260.946         109.1137           41.2546     10.7965488
    2456267.915          68.7587           86.0607     17.6004696 *switched
    2456288.857          61.2135          102.0655      8.3679695
    2456290.870          49.7614          114.1813      8.1551199
    2456314.767          46.5799          116.9956      8.5529995
    2456315.757         103.2321           48.0967     10.4613447
    2456323.783         107.8958           42.8864     10.0270424
