Visit #     JD        Prim. Vel. (km/s)   Sec. Vel. (km/s)  R Value
  1    2455849.8093          38.0001           21.1706         9.4789095
  2    2455853.7960          15.8938           35.2083         9.7789135
  3    2455958.5857          22.8561           33.3285        10.3947792
  4    2455848.8339          18.0785           32.9967        11.0626497
  5    2455852.8782          21.9465           32.9059         9.2217226
  6    2455959.5922          26.7777           27.7418        12.1272287
  7    2456170.9925          18.8612           49.6580         8.1731853
  8    2456173.9612          23.8727           37.3526         5.5307136
  9    2456203.8711          21.6628           35.1934         6.4164109
 10    2456227.7986          35.4199           17.1192         7.5797148
 11    2456175.9869          32.9350           21.3751         6.9502192
 12    2456228.8051          32.1688           14.5637         8.5258036
 13    2456232.7885          34.8890           16.0023        11.3288889
