    Julian Date   Prim. Vel. (km/s)   Sec. Vel. (km/s)  R Value
    2456168.941          39.4437           -2.4602      6.7141752
    2456170.899          72.9688          -34.7310      5.4135146
    2456171.976          69.7346          -33.8179      5.0874405
    2456172.974         -16.8194           55.1648      6.4506369
    2456174.926          17.1531           17.4040     28.7502441
    2456235.774          17.6785           17.8559     26.8389187
    2456262.683          73.6117          -34.0837      4.8123126
    2456282.621           2.0855           35.4331     10.9950399
    2456283.624          49.0601          -11.3252      7.8972912
    2456561.992         -10.9491           48.7789      7.3804874
    2456669.674           6.9284           27.7406     12.6087894
    2456673.564          73.0244          -34.6754      5.0185862
    2456675.565         -15.7954           53.4299      6.3941145
    2456701.589          29.0995            8.2470     10.2778635
    2456703.590          70.2227          -33.3341      5.2320352
    2456706.602          -6.1985           43.5650      8.0634985
