    Julian Date   Prim. Vel. (km/s)   Sec. Vel. (km/s)  Residuals
    2456168.941          39.4437           -2.4602         0.8605
    2456170.899         -34.7310           72.9688         0.1872
    2456171.976         -33.8179           69.7346         1.4106
    2456172.974         -16.8194           55.1648         0.6357
    2456174.926          17.1531           17.4040         1.2946
    2456235.774          17.6785           17.8559         0.6029
    2456262.683         -34.0837           73.6117         1.0994
    2456282.621           2.0855           35.4331         0.4541
    2456283.624         -11.3252           49.0601         0.3250
    2456561.992         -10.9491           48.7789         0.3990
    2456669.674           6.9284           27.7406         1.4299
    2456673.564         -34.6754           73.0244         0.2658
    2456675.565         -15.7954           53.4299         0.1619
    2456701.589          29.0995            8.2470         0.8976
    2456703.590         -33.3341           70.2227         0.7235
    2456706.602          -6.1985           43.5650         0.1753
